Data Format: 
381,12/3/15 03:45:00,0.0,92.9,0.0,0.0,0.0,0.0,687.8,0.0,0,141.1,0.0,0.0,301.8,0.0,4.56
382,12/3/15 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,140.2,130.4,0.0,285.8,0.0,4.56
383,12/3/15 03:55:00,0.0,95.4,0.0,0.0,0.0,0.0,687.0,0.0,0,141.9,610.7,0.0,373.6,0.0,4.56
384,12/3/15 04:00:00,104.7,95.7,0.0,0.0,0.0,0.0,687.5,0.0,0,140.2,0.0,0.0,383.2,0.0,4.54
385,12/3/15 04:05:00,0.0,98.5,0.0,0.0,0.0,0.0,687.2,0.0,0,142.5,0.0,0.0,275.9,0.0,4.59
386,12/3/15 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,141.1,0.0,0.0,287.2,0.0,4.56
387,12/3/15 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,688.1,0.0,0,142.7,130.9,0.0,283.2,0.0,4.56
388,12/3/15 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,691.2,0.0,0,140.8,127.8,0.0,305.2,0.0,4.56
389,12/3/15 04:25:00,0.0,0.0,0.0,0.0,0.0,0.0,690.6,0.0,0,141.3,0.0,0.0,293.4,0.0,4.56
390,12/3/15 04:30:00,0.0,93.2,0.0,0.0,0.0,0.0,688.9,0.0,0,140.2,0.0,0.0,286.0,0.0,4.56
391,12/3/15 04:35:00,0.0,0.0,0.0,0.0,0.0,0.0,688.6,0.0,0,142.7,484.0,0.0,279.9,0.0,4.56
392,12/3/15 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,687.8,0.0,0,142.2,131.8,0.0,286.0,0.0,4.56
393,12/3/15 04:45:00,0.0,91.2,0.0,0.0,0.0,0.0,690.3,0.0,0,141.3,130.6,0.0,371.6,0.0,4.56
394,12/3/15 04:50:00,0.0,94.0,0.0,0.0,0.0,0.0,688.1,0.0,0,146.7,0.0,0.0,368.3,0.0,4.56
395,12/3/15 04:55:00,0.0,0.0,0.0,0.0,0.0,0.0,693.2,0.0,0,145.0,0.0,0.0,292.0,0.0,4.56
396,12/3/15 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,694.3,0.0,0,147.5,0.0,0.0,298.2,0.0,4.54
397,12/3/15 05:05:00,0.0,0.0,0.0,0.0,0.0,0.0,685.8,0.0,0,141.3,145.8,0.0,287.7,0.0,4.55
398,12/3/15 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,685.6,0.0,0,142.2,612.9,0.0,279.3,0.0,4.56
399,12/3/15 05:15:00,0.0,92.3,0.0,0.0,0.0,0.0,686.4,0.0,0,141.9,207.8,0.0,292.5,0.0,4.56
400,12/3/15 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,684.1,0.0,0,142.2,0.0,0.0,302.4,0.0,4.56
401,12/3/15 05:25:00,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,0,141.9,0.0,0.0,303.5,0.0,4.56
402,12/3/15 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,686.1,0.0,0,141.1,0.0,0.0,281.0,0.0,4.56
403,12/3/15 05:35:00,0.0
